company,product,typename,inches,cpu,ram(GB),gpu,opsys,weight(kg),price,resolution,screentype,touchscreen,cpu_freq(GHz),memory_1_sto(GB),memory_1_type,memory_2_sto(GB),memory_2_type,cpu_brand,gpu_brand
Acer,Aspire E5-575,Notebook,15.6,Intel Core i5 7200U ,6,Intel HD Graphics 620,Windows 10,2.23,549.0,1366x768,,0.0,2.5,1000,HDD,0,NaN,Intel,Intel
Asus,VivoBook S15,Ultrabook,15.6,Intel Core i7 7500U ,8,Nvidia GeForce 940MX,Windows 10,1.7,1049.9,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,Nvidia
HP,Elitebook 820,Ultrabook,12.5,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.26,1335.0,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,Intel
Dell,XPS 15,Notebook,15.6,Intel Core i7 7700HQ ,32,Nvidia GeForce GTX 1050,Windows 10,2.06,2639.0,3840x2160,,1.0,2.8,1000,SSD,0,NaN,Intel,Nvidia
MSI,GL72M 7REX,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1199.0,1920x1080,,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Toshiba,Satellite Pro,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.0,943.0,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,2.0,1334.0,1920x1080,,0.0,2.7,256,SSD,1000,HDD,Intel,Intel
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.85,449.0,1920x1080,,0.0,2.0,1000,HDD,0,NaN,Intel,Intel
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.5,999.0,1920x1080,,0.0,2.8,256,SSD,0,NaN,Intel,Nvidia
HP,EliteBook 840,Notebook,14.0,Intel Core i5 7300U ,8,Intel HD Graphics 620,Windows 10,1.48,1268.0,1920x1080,,0.0,2.6,256,SSD,0,NaN,Intel,Intel
Dell,Inspiron 7570,Ultrabook,15.6,Intel Core i5 8250U ,8,Nvidia GeForce 940MX,Windows 10,1.9,1049.0,1920x1080,IPSPanel,0.0,1.6,128,SSD,1000,HDD,Intel,Nvidia
HP,Elitebook 850,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.84,1144.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Linux,2.0,274.99,1366x768,,0.0,1.1,1000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 7570,Notebook,15.6,Intel Core i5 8250U ,8,Nvidia GeForce 940MX,Windows 10,2.0,1142.75,1920x1080,,0.0,1.6,256,SSD,0,NaN,Intel,Nvidia
Dell,Inspiron 3552,Notebook,15.6,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics,Linux,2.2,274.9,1366x768,,0.0,1.6,500,HDD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD A12-Series 9720P ,12,AMD Radeon 530,Windows 10,2.2,899.0,1920x1080,,0.0,3.6,2000,HDD,0,NaN,AMD,AMD
HP,ProBook 450,Notebook,15.6,Intel Core i3 7100U ,8,Nvidia GeForce 930MX ,Windows 10,2.1,716.0,1920x1080,IPSPanel,0.0,2.4,1000,HDD,0,NaN,Intel,Nvidia
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Intel Core i7 8550U ,16,Intel UHD Graphics 620,Windows 10,1.4,2099.0,3840x2160,IPSPanel,1.0,1.8,512,SSD,0,NaN,Intel,Intel
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.2,1579.0,1920x1080,,0.0,1.8,256,SSD,0,NaN,Intel,Intel
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,1129.0,1920x1080,IPSPanel,0.0,2.8,256,SSD,2000,HDD,Intel,Nvidia
HP,Stream 14-AX001nv,Notebook,14.0,Intel Celeron Dual Core N3060 ,2,Intel HD Graphics 400,Windows 10,1.44,279.0,1366x768,,0.0,1.6,32,FlashStorage,0,NaN,Intel,Intel
Dell,Latitude 5590,Ultrabook,15.6,Intel Core i7 8650U ,16,Intel UHD Graphics 620,Windows 10,1.88,1607.96,1920x1080,,0.0,1.9,512,SSD,256,SSD,Intel,Intel
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.5,375.0,1366x768,,1.0,1.1,32,FlashStorage,0,NaN,Intel,Intel
Dell,Inspiron 5570,Ultrabook,15.6,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,1.9,663.0,1920x1080,,0.0,1.6,1000,HDD,0,NaN,Intel,AMD
Dell,XPS 15,Notebook,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050,Windows 10,2.06,2027.42,3840x2160,,1.0,2.8,512,SSD,0,NaN,Intel,Nvidia
HP,Elitebook 850,Notebook,15.6,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.84,1304.0,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,Intel
MSI,GP72MVR 7RFX,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1060,Windows 10,2.7,1409.0,1920x1080,,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
HP,Zbook 15,Workstation,15.6,Intel Core i7 7700HQ ,8,Nvidia Quadro M1200,Windows 10,2.6,1738.27,1920x1080,,0.0,2.8,256,SSD,0,NaN,Intel,Nvidia
Toshiba,Tecra A50-C-21G,Notebook,15.6,Intel Core i7 6500U ,16,Nvidia GeForce 930M,Windows 10,2.4,1403.0,1920x1080,IPSPanel,0.0,2.5,512,SSD,0,NaN,Intel,Nvidia
Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,2.02,970.9,1920x1080,,0.0,1.8,128,SSD,2000,HDD,Intel,AMD
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,No OS,2.2,321.99,1366x768,,0.0,1.1,1000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 7577,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.65,999.0,1920x1080,,0.0,2.5,1000,HDD,0,NaN,Intel,Nvidia
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.36,557.37,1366x768,,1.0,2.5,2000,HDD,0,NaN,Intel,Intel
Dell,Latitude 7480,Notebook,14.0,Intel Core i5 7300U ,8,Intel HD Graphics 620,Windows 10,1.36,1427.0,1920x1080,,0.0,2.6,256,SSD,0,NaN,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.86,439.0,1366x768,,0.0,2.0,500,HDD,0,NaN,Intel,Intel
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.0,945.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Intel Core i5 7200U ,6,Nvidia GeForce GTX 940MX,Windows 10,2.8,719.0,1600x900,,0.0,2.5,128,SSD,1000,HDD,Intel,Nvidia
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.86,639.0,1920x1080,,0.0,2.5,1000,HDD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U ,8,Nvidia GeForce 920MX ,No OS,2.2,499.0,1366x768,,0.0,2.0,256,SSD,0,NaN,Intel,Nvidia
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Intel Pentium Quad Core N3710 ,8,Intel HD Graphics 405,Windows 10,2.04,389.0,1366x768,,0.0,1.6,2000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 5770,Notebook,17.3,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,2.8,1085.0,1920x1080,,0.0,1.6,128,SSD,1000,HDD,Intel,AMD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,No OS,2.4,809.0,1920x1080,IPSPanel,0.0,2.5,128,SSD,1000,HDD,Intel,Nvidia
Dell,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon R7 M445,Windows 10,2.33,899.0,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,AMD
HP,Elitebook 1040,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.36,1750.0,1920x1080,IPSPanel,0.0,2.7,256,SSD,0,NaN,Intel,Intel
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Intel Core i7 7500U ,12,Nvidia GeForce GT 940MX,Windows 10,2.26,1099.0,1920x1080,,1.0,2.7,512,SSD,2000,HDD,Intel,Nvidia
Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,2.1,426.0,1366x768,,0.0,3.0,128,SSD,0,NaN,AMD,AMD
Asus,Rog Strix,Gaming,17.3,AMD Ryzen 1700 ,16,AMD Radeon RX 580,Windows 10,3.25,2199.0,1920x1080,IPSPanel,0.0,3.0,256,SSD,1000,HDD,AMD,AMD
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,AMD A8-Series 7410 ,4,AMD Radeon R5,Windows 10,2.6,489.0,1600x900,,0.0,2.2,128,SSD,0,NaN,AMD,AMD
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.62,869.01,1920x1080,,1.0,1.8,256,SSD,0,NaN,Intel,Intel
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,1.91,488.99,1920x1080,,0.0,3.0,256,SSD,0,NaN,AMD,AMD
Lenovo,Yoga 11e,Netbook,11.6,Intel Celeron Quad Core N3450 ,4,Intel HD Graphics 500,Windows 10,1.59,553.0,1366x768,IPSPanel,0.0,1.1,128,SSD,0,NaN,Intel,Intel
Dell,Inspiron 3552,Notebook,15.6,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics 400,Windows 10,1.8,309.0,1366x768,,0.0,1.6,500,HDD,0,NaN,Intel,Intel
Asus,VivoBook E403NA,Notebook,14.0,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.5,286.0,1366x768,,0.0,1.1,32,FlashStorage,0,NaN,Intel,Intel
Acer,Aspire 7,Notebook,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Linux,2.4,846.0,1920x1080,,0.0,2.8,1000,HDD,0,NaN,Intel,Nvidia
HP,Omen 17-w212nv,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,3.35,1191.0,1920x1080,IPSPanel,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,No OS,1.85,403.5,1920x1080,,0.0,2.0,128,SSD,0,NaN,Intel,Intel
Asus,ROG Strix,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1060,Windows 10,2.3,1655.0,1920x1080,IPSPanel,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,Intel Core i5 7200U ,8,Nvidia GeForce 940MX,Windows 10,1.5,1099.0,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Nvidia
Asus,Zenbook Flip,Ultrabook,13.3,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,1.1,1748.9,1920x1080,,1.0,2.7,512,SSD,0,NaN,Intel,Intel
Lenovo,Thinkpad X1,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.13,2282.0,2560x1440,IPSPanel,0.0,2.7,512,SSD,0,NaN,Intel,Intel
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,Intel Core i3 7100U ,4,Intel HD Graphics 620,Windows 10,1.5,549.0,1920x1080,IPSPanel,0.0,2.4,128,SSD,0,NaN,Intel,Intel
Dell,Precision 3510,Workstation,15.6,Intel Core i5 6440HQ ,8,AMD FirePro W5130M,Windows 10,2.23,1369.0,1920x1080,,0.0,2.6,500,HDD,0,NaN,Intel,AMD
Dell,Precision 5520,Workstation,15.6,Intel Core i7 6820HQ ,8,Nvidia Quadro M1200,Windows 10,2.0,2135.0,1920x1080,IPSPanel,0.0,2.7,256,SSD,0,NaN,Intel,Nvidia
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,1.42,2509.0,2560x1440,,1.0,2.7,512,SSD,0,NaN,Intel,Intel
Asus,Rog GL753VD-GC042T,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,3.0,1039.0,1920x1080,,0.0,2.8,1000,HDD,0,NaN,Intel,Nvidia
Asus,Rog GL753VE-GC070T,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,3.0,1591.0,1920x1080,,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Acer,Aspire 5,Notebook,15.6,Intel Core i5 8250U ,12,Nvidia GeForce MX130,Windows 10,2.2,693.99,1366x768,IPSPanel,0.0,1.6,1000,HDD,0,NaN,Intel,Nvidia
MSI,Leopard GP72M,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,1349.0,1920x1080,,0.0,2.8,256,SSD,0,NaN,Intel,Nvidia
Dell,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon R7 M445,Linux,2.33,778.87,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,AMD
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,AMD A9-Series 9420 ,4,AMD Radeon 520,Windows 10,1.91,499.0,1920x1080,,0.0,3.0,256,SSD,0,NaN,AMD,AMD
Lenovo,ThinkPad E580,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon RX 550,Windows 10,2.1,1229.56,1920x1080,IPSPanel,0.0,1.8,256,SSD,0,NaN,Intel,AMD
Lenovo,ThinkPad L470,Notebook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.9,938.0,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Dell,Precision M5520,Workstation,15.6,Intel Core i7 7700HQ ,8,Nvidia Quadro M1200,Windows 10,1.78,2712.0,3840x2160,,1.0,2.8,256,SSD,0,NaN,Intel,Nvidia
Lenovo,Thinkpad X1,Ultrabook,14.0,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,1.13,2625.0,2560x1440,IPSPanel,0.0,2.7,1000,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,2.2,306.0,1366x768,,0.0,1.1,1000,HDD,0,NaN,Intel,Intel
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050,Windows 10,2.9,1529.0,1920x1080,,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Lenovo,ThinkPad E580,Notebook,15.6,Intel Core i5 8250U ,8,AMD Radeon RX 550,Windows 10,2.1,1144.5,1920x1080,IPSPanel,0.0,1.6,256,SSD,1000,HDD,Intel,AMD
Acer,Aspire 7,Notebook,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Linux,2.5,879.0,1920x1080,,0.0,2.8,256,SSD,0,NaN,Intel,Nvidia
MSI,GE73VR 7RF,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,2.8,2249.0,1920x1080,,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Asus,Zenbook 3,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.1,1873.0,1920x1080,,0.0,2.7,512,SSD,0,NaN,Intel,Intel
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Intel Core i7 6500U ,16,Intel HD Graphics 520,Windows 10,1.2,1747.0,1920x1080,,0.0,2.5,512,SSD,0,NaN,Intel,Intel
Dell,Latitude 7480,Ultrabook,14.0,Intel Core i7 7600U ,8,Intel HD Graphics,Windows 10,1.36,1680.0,1920x1080,,0.0,2.8,512,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,2.2,409.0,1920x1080,,0.0,2.0,500,HDD,0,NaN,Intel,Intel
Lenovo,Lenovo IdeaPad,Notebook,11.6,Intel Celeron Dual Core N3350 ,2,Intel HD Graphics 500,Windows 10,1.15,304.45,1366x768,,0.0,1.1,32,FlashStorage,0,NaN,Intel,Intel
Lenovo,ThinkPad P51,Workstation,15.6,Intel Core i7 7700HQ ,8,Nvidia Quadro M1200,Windows 10,2.67,1925.0,1920x1080,,0.0,2.8,512,SSD,0,NaN,Intel,Nvidia
Lenovo,Thinkpad T470p,Ultrabook,14.0,Intel Core i7 7700HQ ,8,Nvidia GeForce GT 940MX,Windows 10,1.7,1943.0,2560x1440,IPSPanel,0.0,2.8,512,SSD,0,NaN,Intel,Nvidia
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon 520,Windows 10,2.1,469.0,1920x1080,,0.0,2.0,1000,HDD,0,NaN,Intel,AMD
Acer,Aspire R7,2 in 1 Convertible,13.3,Intel Core i7 6500U ,8,Intel HD Graphics 520,Windows 10,1.6,789.01,1920x1080,IPSPanel,1.0,2.5,256,SSD,0,NaN,Intel,Intel
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.27,928.0,1920x1080,IPSPanel,1.0,2.5,256,SSD,0,NaN,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,4,AMD Radeon R5 M430,Linux,2.3,598.9,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,AMD
Dell,Latitude 3380,Notebook,13.3,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.65,689.0,1366x768,,0.0,2.0,128,SSD,0,NaN,Intel,Intel
HP,EliteBook 1040,Ultrabook,14.0,Intel Core i7 6500U ,8,Intel HD Graphics 520,Windows 10,1.43,1500.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.14,539.95,1366x768,,0.0,2.5,1000,HDD,0,NaN,Intel,Intel
Lenovo,ThinkPad E480,Ultrabook,14.0,Intel Core i7 8550U ,8,AMD Radeon RX 550,Windows 10,1.75,1215.38,1920x1080,IPSPanel,0.0,1.8,256,SSD,0,NaN,Intel,AMD
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050,Windows 10,2.0,1899.0,3840x2160,IPSPanel,1.0,2.8,512,SSD,0,NaN,Intel,Nvidia
Chuwi,LapBook 12.3,Notebook,12.3,Intel Celeron Quad Core N3450 ,6,Intel HD Graphics 500,Windows 10,1.4,449.0,2736x1824,IPSPanelRetinaDisplay,0.0,1.1,64,FlashStorage,0,NaN,Intel,Intel
HP,ProBook 650,Notebook,15.6,Intel Core i7 7820HQ ,8,Intel HD Graphics 630,Windows 10,2.31,1427.0,1920x1080,,0.0,2.9,256,SSD,0,NaN,Intel,Intel
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Intel Core i3 7100U ,8,Nvidia GeForce 940MX,Linux,2.3,597.0,1920x1080,,0.0,2.4,1000,HDD,0,NaN,Intel,Nvidia
Dell,Alienware 17,Gaming,17.3,Intel Core i7 7820HK ,16,Nvidia GeForce GTX 1070,Windows 10,4.42,2799.0,2560x1440,IPSPanel,0.0,2.9,256,SSD,1000,HDD,Intel,Nvidia
Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,1159.0,1920x1080,IPSPanel,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,2.02,1142.4,1920x1080,,0.0,1.8,256,SSD,2000,HDD,Intel,AMD
Dell,Latitude 5480,Ultrabook,14.0,Intel Core i7 7600U ,8,Intel HD Graphics 620,Linux,1.6,1099.0,1920x1080,,0.0,2.8,256,SSD,0,NaN,Intel,Intel
HP,Omen 17-w207nv,Gaming,17.3,Intel Core i7 7700HQ ,12,Nvidia GeForce GTX 1070,Windows 10,3.35,1999.0,1920x1080,,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.16,299.0,1920x1080,IPSPanel,1.0,1.1,32,SSD,0,NaN,Intel,Intel
Samsung,Chromebook 3,Netbook,11.6,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics 400,Chrome OS,1.15,269.0,1366x768,,0.0,1.6,16,FlashStorage,0,NaN,Intel,Intel
Lenovo,Thinkpad 13,Notebook,13.3,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.4,1010.0,1920x1080,IPSPanel,0.0,2.7,256,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,Intel Core i3 7130U ,4,Intel HD Graphics 620,Windows 10,1.7,599.0,1920x1080,IPSPanel,0.0,2.7,128,SSD,0,NaN,Intel,Intel
Lenovo,Thinkpad T570,Workstation,15.6,Intel Core i7 7600U ,16,Nvidia GeForce 940MX,Windows 10,2.3,2445.0,3840x2160,IPSPanel,0.0,2.8,512,SSD,0,NaN,Intel,Nvidia
Lenovo,Thinkpad P51,Notebook,15.6,Intel Core i7 7820HQ ,16,Nvidia Quadro M2200M,Windows 10,2.5,2449.0,1920x1080,,0.0,2.9,512,SSD,0,NaN,Intel,Nvidia
Asus,Rog Strix,Gaming,17.3,AMD Ryzen 1600 ,8,AMD Radeon RX 580,Windows 10,3.2,1695.0,1920x1080,,0.0,3.2,256,SSD,1000,HDD,AMD,AMD
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics 400,Windows 10,2.1,347.0,1366x768,,0.0,1.6,500,HDD,0,NaN,Intel,Intel
Google,Pixelbook (Core,Ultrabook,12.3,Intel Core i7 7Y75 ,16,Intel HD Graphics 615,Chrome OS,1.1,2199.0,2400x1600,,1.0,1.3,512,SSD,0,NaN,Intel,Intel
Lenovo,ThinkPad T470s,Ultrabook,14.0,Intel Core i7 7500U ,24,Intel HD Graphics 620,Windows 10,1.32,2382.0,2560x1440,,0.0,2.7,512,SSD,0,NaN,Intel,Intel
Asus,VivoBook Max,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Linux,2.0,559.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15AST,Notebook,17.3,AMD A6-Series 9220 ,8,AMD Radeon R4,Windows 10,2.8,519.0,1600x900,,0.0,2.5,1000,HDD,0,NaN,AMD,AMD
Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U ,4,AMD Radeon 530,Windows 10,2.2,749.0,1920x1080,,0.0,1.6,256,SSD,0,NaN,Intel,AMD
Lenovo,ThinkPad X270,Ultrabook,12.5,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.36,1429.0,1920x1080,IPSPanel,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Pentium Quad Core N4200 ,4,Intel HD Graphics 505,Windows 10,2.2,349.0,1920x1080,,0.0,1.1,128,SSD,0,NaN,Intel,Intel
HP,Omen 15-AX205na,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.2,1099.0,1920x1080,IPSPanel,0.0,2.8,128,SSD,1000,HDD,Intel,Nvidia
Dell,Latitude 5480,Notebook,14.0,Intel Core i5 7440HQ ,8,Nvidia GeForce 930MX,Windows 10,1.64,1179.0,1920x1080,,0.0,2.8,256,SSD,0,NaN,Intel,Nvidia
Acer,Aspire ES1-572,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Linux,2.4,441.8,1366x768,,0.0,2.5,500,HDD,0,NaN,Intel,Intel
Dell,Precision 3520,Workstation,15.6,Intel Xeon E3-1505M V6 ,8,Nvidia Quadro M620,Windows 10,2.23,1993.0,1920x1080,,0.0,3.0,64,FlashStorage,1000,HDD,Intel,Nvidia
MSI,GV62 7RD-1686NL,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.2,1027.74,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Nvidia
Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i7 7660U ,16,Intel Iris Plus Graphics 640,Windows 10 S,1.25,2589.0,2256x1504,,1.0,2.5,512,SSD,0,NaN,Intel,Intel
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.91,589.0,1366x768,,0.0,2.5,128,SSD,0,NaN,Intel,Intel
Dell,Precision 3520,Workstation,15.6,Intel Core i7 6820HQ ,16,Nvidia Quadro M620,Windows 10,2.17,1975.0,1920x1080,IPSPanel,0.0,2.7,256,SSD,0,NaN,Intel,Nvidia
HP,ProBook 650,Workstation,15.6,Intel Core i7 7820HQ ,8,Intel HD Graphics 620,Windows 10,2.31,1534.0,1920x1080,IPSPanel,0.0,2.9,512,SSD,0,NaN,Intel,Intel
Lenovo,ThinkPad T470,Notebook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.65,1345.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,2.36,979.0,1920x1080,,0.0,1.8,128,SSD,1000,HDD,Intel,AMD
