Comment,Emotion
stranded in the north of fraser island with a submerged wd hire vehicle,fear
i feel is hostile kinship or mounting nausea did you know that back means the binding itself,anger
is name in the opening passages saying it may strike the reader as rather singular and far fetched but he may feel assured that it was by no means far fetched and that the circumstances were such that it would have been impossible to give him any other name,joy
i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,joy
im feeling a little more hopeful about my future and like matty always says i want my world to get bigger,joy
i feel so insecure about my writing,fear
i feel though its pretty dangerous to to apply one strategy to match,anger
i know both of them feel threatened by the job i do even after long years but i get really tired of the ganging up i get from them,fear
i still try to force myself to do some even if i m feeling irritable withdrawn and quiet at the time,anger
i miss how safe and comfortable he made me feel and how vulnerable i was able to be with him because i knew he loved me,fear
i hesitate to give out stars for any books because i feel that giving it stars is saying that it is absolutely perfect and there are no improvements to be made,joy
i also feel as though this assumption is rude as soon as they are informed they are married the next question follows do you have kids,anger
ive talked with her telling her that sometimes i feel shes not sincere,joy
im not enjoying winter hate feeling cold and having to dress in so many layers,anger
i did this especially feels strongly at the moment with gina who just died but had as fucked up as a family as you could ever imagine and wrote me letters during my misgivings and insecure times about how my love was enough,anger
i didnt sleep quite as well last night but i still feel quite energetic this morning,joy
i get angry at myself when i feel bitter,anger
i could even think about it i said uh well most days i feel like im being tortured i want to pull all my hair out and scream so i guess not,anger
i feel overly distracted so tabby and i started again working on the paths and the routes we have here through the woods down to the big creek and around the former second meadow,anger
i don t feel that irritated,anger
im feeling font friendly,joy
i was sipping my diet coke watching my the swimming lessons and feeling aggravated that my mousekins were not being better listeners the thought crossed my mind,anger
i do that he can t stand feeling threatened and looking over his shoulder,fear
i forgot to take it yesterday so this morning i took two i feel super sick now,joy
i really don t feel all that bothered by the north london derby,anger
i didn t have feelings for them but seriously after a while how do you feel love for someone who treats you with such disregard i was faithful and loyal,joy
i went into that feeling more than a little bit scared as my running training to date had been almost non existent,fear
i am feeling manipulkated and wronged by my son and its as though he is lucy and i am charlie brown,anger
im also feeling more shaky in my confidence in my faith but at the same time i feel like im growing spiritually a lot and also growing a lot in my understanding of the world around me,fear
i am most defensive when i feel most threatened,fear
im feeling quite pleased this week,joy
i suppose if one were to love someone one would feel doubtful,fear
im just feeling seriously pissed off at myself for doing something fantabulous but utterly stupid,anger
i feel rich indeed,joy
i feel so vulnerable and yet so protective over her,fear
i was just not feeling up to it for a few reasons but i am so glad to be back,joy
i feel the divine envelope me when i watch literally hundreds of faithful at mass in line for eucharist hundreds of people who include professors homeless bankers students rich poor mentally ill healthy conservatives liberals gay straight sweet rude arrogant kind,joy
i could feel his sweet spirit and i was happy to be helping him,joy
i wasnt going to post anything about his death because i made me feel mad and shitty,anger
i wasn t feeling reluctant because i was spending money we don t really have an ipad at x price is way out of the question,fear
i chose to share that little personal snippet in my phone because i know i m not the only one that feels this way and i know i m not the only one that was petrified to face it,fear
i said feeling a little shaky as i stared at the ocean from which the goddess was rising not knowing why,fear
i love that its adoption of a teenager which many people feel afraid to consider,fear
earth crake,fear
when i received the first year results as the first year had involved a lot of work and i was very pleased when i got the results,joy
i too still believe in feminism and i still believe in the saving power of rock music as bauer proclaims at the end of the article so why am i left feeling skeptical and unconvinced,fear
i feel fabulous about it,joy
ive been feeling so bothered lately,anger
i worry that he s feeling resentful for doing woman s work,anger
i try to hold my tongue try to see it from his point of view but inside i am feeling agitated and irritable about all this pressure to please him when i cannot seem to get my own self in order,fear
i ignored her minor tantrum and jumped down from the table beginning to pace again and feeling agitated,fear
i feel i am beyond pissed off disappointed frustrated with myself,anger
i can stop relying on the views of others for my self worth and thus not feel so threatened by their behaviors,fear
i feel as though the past two months have been a strange waking hour upon the even stranger dream of everything my years in wisconsin were and were not,fear
i know its only the beginning of and im already feeling fucked,anger
i become more comfortable in this remodeled office i am feeling much gratitude for its wonderful amenities,joy
i feel so excited about it,joy
i kinda feel like being rebellious a libertine you know,anger
i have a sense of both in my mind s eye i feel that divine energy way up aloft and i experience its reflection in me sometimes like a rare sunny day in a rainy climate,joy
i feel like it gave me a lot of valuable information on ways i can improve my skin in the present and maintain and improve it in the future,joy
i feel confused after that,fear
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife,joy
i have a lovely nesty feeling after looking at all that cute teeny weeny clothing,joy
i will learn to express my feelings in a way more acceptable,joy
im feeling a bit stressed by the sheer numbers button pressing enthusiasts gathering around my bike,anger
i go on these walks with my mother in the evenings i feel this frantic anxious energy from her as if shes losing her daughter and doesnt know how to win her back,fear
i finished it feeling amazing,joy
i feel pressured when people say im going t beat you or whatever,fear
i feel jealous on sumthg tat i thk of,anger
i want to go in feeling eager and come out with a dazzling cert whilst on the phone with my mum feeling that at least ive made her proud,joy
i wont go on about the anxieties i am feeling about this is being as neurotic as me about this,fear
i feel petty a href http clairee,anger
i also did feel like i was excited to come back like i have two homes now,joy
i feel less keen about the winston churchill quote really i feel less keen about the winston churchill quote a href http www,joy
i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,anger
i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,anger
i love feeling brave,joy
i could prepare a bunch of my own dishes made in the safety and control of my home so i can at least feel safe in what ive prepared,joy
i feel its my job to give you perspective to at least attempt to provide context as to why seemingly intelligent folk say such unimaginable things,joy
i feel vulnerable when im alone not only because i feel so incapable of defending myself but also because i could go into labour at any point,fear
i feel that people cannot possibly appreciate me that any compliments toward me cannot possibly be sincere or that i dont deserve compliments in the first place,joy
i am too fragile to feel too vulnerable of pain and too easy for tears,fear
im not feeling quite so adventurous i might just find a quiet spot to read,joy
im feeling a bit uncertain its comforting to me to draw these trusty old louche animals,fear
i love the way he talks sometimes i feel shy when i was inside him,fear
i still feel jealous of my friends when their moms talk politely with them,anger
i am feeling pressured and backed into a corner,fear
i feel so pissed about myself,anger
i am feeling terribly mellow today sitting in bed looking out the window at the red orange green brown trees outside my window listening to norah jones and reading stuff,joy
i really could not feel a thing and i felt slightly annoyed at the nurse who every time i pushed kept saying things like you are an incredibly strong woman be strong be strong,anger
i did feel scared now,fear
i feel like all women are witches in someway why do we have to be tortured for being beautiful and powerful,anger
i punched out of work sunday sighed and the brunch trumpeter waldo carter said from behind i know exactly how you feel this startled me and i flinched,fear
a teacher was very blunt in his relation to a child so that the child was very upset when arriving at home,anger
im feeling so pissed off now,anger
i didn t feel relieved,joy
i feel very apprehensive,fear
i walk by those temptations i feel disgusted,anger
i hate the way mom and dad are to her i hate the neglect of her feelings and her needs as an intelligent child that are rampant in their parenting style,joy
before an exam which i,fear
i feel i am writing this blog for selfish reasons but i know god can use it for his her purpose,anger
i guess the finality of my decision and the financial repercussions have me feeling doubtful,fear
i have no idea why but i get gastric pain when i feel stressed up,anger
i know that there is some cynicism involved but i also know that it s come from the lessons i ve learned over the last couple years of life and i don t feel resentful or damaged because of it i feel fortunate enough to have been clubbed upside the head with a bigger dose of reality,anger
i think i like how it feels more lively in the dorama,joy
i get frustrated when i know that some of the things i am thinking or feeling are very very petty so i try and limit myself to opinions that have some sort of validity,anger
i feel graceful and almost mythical,joy
i don t feel resentful i feel guilty,anger
i get on new years eve but it makes me feel rebellious being underage and all,anger
i feel selfish on the days i dont feel well and want to be left alone in my misery,anger
i feel irritable and unfulfilled if i dont paint for several days,anger
i feel more adventurous willing to take risks img src http cdn,joy
i always feel invigorated while listening to her that we can win this war against predatory school deform,joy
i was feeling pretty bitchy and horrible but dont worry,anger
i have been walking around feeling pissed off at the world lately,anger
i feel free exhilarated,joy
i feel angry im happy,anger
i is feeling particularly hostile shell say no red shirt today nickey,anger
i hear the word and i feel stronger and re assured once again,joy
my girlfriend sent me a letter with a shiny picture in it,joy
i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty,anger
i feel like i should care that im a bit heartless not to,anger
i feel hes being very casual with my entire future,joy
im feeling a bit suspicious,fear
i feel equally morally outraged regardless of whether its michigans or new yorks governor sleeping with prostitutes behind his wifes and daughters backs,anger
i am tired feeling overwhelmed and it seems like i am being assaulted from every direction i am not always at my best,fear
im actually feeling a little smug,joy
i met you i used to want to lock myself into a vault just to feel precious,joy
i really want to share the chance for you to win too because i feel passionate about the subject,joy
i can t help myself from feeling a bit apprehensive in the meantime,fear
im not feeling exactly thrilled with standing in front of a mirror if you know what i mean,joy
i know all art animals are lame and i feel particularly violent about the crabs,anger
i always intended on achieving just so i could be with everyone else and feel like i was an intelligent productive and successful person,joy
i still think it is worth posting here as a reminder for the next time i feel anxious,fear
i cant help but feel distraught,fear
i ask you not to feel pressured by this,fear
i feel uncomfortable and slobby,fear
i feel as though sometimes i can be more clever than average,joy
i growled at her i began to feel extremely annoyed with her,anger
i feel cheated and wronged let down and spurned the vine i tended and nursed how could it do this to me,anger
i didn t want them sending me crap i d feel almost insulted to win and embarrassed for whoever made it like in oregon,anger
i feel so impatient and sometimes i feel thankful that god gave me more time for the moulding of my heart,anger
i feel a bit frightened that you are touching my car while i am away repeatedly i ask you to stop putting stuff on it,fear
im just happy to be feeling something because for the last few days ive felt pretty,joy
i am feeling that it my be a more dangerous task than dancing in a lightening storm with an umbrella,anger
i just wish i didnt feel like my roommates hated me half the time,anger
i often feel offended by life,anger
i need to do after much prayer considering things like this but i still always feel a little reluctant to act but i do anyway,fear
im feeling pretty paranoid and trying to cover the cash and protect my belongings it definitely felt like i was doing something i shouldnt be doing like money laundering or something,fear
i have to admit i was feeling very skeptical,fear
i was intensely conscious of how much cash i had left in my gas and food envelope and i still have what i intended to save for next week which helps me not feel so stressed and scared,anger
i feel irritated that he either interrupts my quiet time or wakes me up,anger
im getting the feeling that my classes are a little intimidated by the concept of a lit,fear
im feeling very grumpy this week but its not just my annual outbreak of ptpt pre te pouhere tension there has surely been a great deal to be grumpy about this week,anger
i feel it is vital to make the most of that day and live it to our fullest potential,joy
i was feeling annoyed suddenly,anger
i feel very disgusted by that i cant tolerated her actions anymore by writing this post,anger
i feel completely shaken up,fear
im so excited but feeling scared too,fear
i felt like i was losing control of my body and it was hard for me to feel calm and positive about that because it wasn t an irrational thought,joy
i feel like if there are pickles in the fridge everything will be ok,joy
i am feeling hopeful and looking forward once again,joy
i still did not really feel like myself and i kind of hated these pictures but i am soooo glad we took them,anger
i feel like there is a violent war going on in my stomach,anger
i had this strange feeling that she was incredibly distressed,fear
i ask him if he is feeling adventurous and wants to see that one since he already booked his friday and saturday nights and i already know he has church stuff on sundays,joy
im finally looking forward to my toes kissing the sand once again and feeling so free,joy
i already feel like ive been accepted into the community here,joy
i wonder if feeling complacent is a result of my laziness,joy
i guess only my wife can really know for sure but i feel at least a little bit less selfish since being married,anger
when i saw my family after a separation of one year,joy
i feel frustrated irritable even,anger
i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,fear
id like to be less afraid to say how i really feel less afraid to travel,fear
i feel so pissed off that i can bite off a fucking tree log,anger
i feel another violent daydream coming up and i bet it has something to do with me getting my hands on a saint just costume,anger
i never realized just how awful my mother has been feeling about her lack of energy and independence until i had this operation and have been so wimpy and tired,fear
i feel insulted by this that he doesnt even respect me enough to let me know hes not coming not until i indicated i was going to bed,anger
i was told to do it continues and the fact i feel fear frightened correction terrified of what is next,fear
im not quite sure what it is but its a feeling specially for you and its nothing hostile,anger
i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now,joy
i worked as a computer tech this ability to hyper focus on one issue is a real asset however for living day to day i can get bogged down and feel frustrated that i am not making progress because i am focused on one problem,anger
i may resurrect when im feeling more generous i did an all too lengthy series on a history of my celebrity crushes,joy
i told him it is because asians are very considerate so whenever a person is not feeling well they would have the common courtesy to wear a mask to reduce risk of spreading it to people around us,joy
im feeling anxious all im really trying to do is project the exact opposite,fear
id tell him that i feel that to cede control of our lives is the only way to prevent doomnation extremely clever play on damnation i know,joy
i feel hated and isolated but it doesn t hurt,anger
i cannot and i feel a strange sadness for a thing that i m now ready for but cannot do,fear
i used feel frustrated all the time,anger
i thought about it later feeling anxious and worried,fear
i might start feeling nervous tomorrow but im not sure,fear
i got this amazing news from tracy today the final covers only chapters no wonder we were feeling so rushed and it seemed we didnt have enough time,anger
i was feeling quite nervous,fear
i feel angered and firey,anger
i feel so petty getting all worked up about all this stuff but thats not really whats made me the way i am,anger
i feel my children are in harms way i feel frightened,fear
i still am not able to remember a single dull moment a detail that pissed me off a thing i didnt feel comfortable about,joy
i questioned myself wondering why didnt i feel jubilant,joy
i love gives me a great feeling of contented accomplishment,joy
i mean how would you feel if euan got hauled in for murder but you knew he was innocent,joy
i always got the feeling she hated me,anger
i am feeling very restless irritable and discontent,fear
i ended the episode feeling really pissed,anger
i was to do the same to them i would have this guilty conscience and i would feel like a heartless bitch,anger
i closed her eyes in anger and feeling disgusted by this touch,anger
i was feeling out of sorts anxious not sure what to do with myself,fear
i feel any team pretty dangerous in playoffs york left wing ruslan fedotenko notes said,anger
i feel really petty at the moment because i am extremely angry because im broke at the moment and it sort of pisses me off,anger
i drove away from today feeling overwhelmed with news that i have heard a trillion times and news that my heart knows already,fear
i feel like thats a cop out having safe people,joy
i feel so so tortured by looking at the lecture notes and nothing is going in except for my holiday plans,anger
i think i was right to feel insulted,anger
when i had a serious argument with a dear person,anger
i asked myself why do you feel frightened of being,fear
i am feeling a little grumpy but that could be pms too,anger
i feel like i want to stop i think of my wimpy muscle less sister who did the tough mudder,fear
im here to tell you you arent alone if you feel vulnerable,fear
i think i almost made my counsellor cry yesterday because i said it feels like i dont have anyone supporting me,joy
i feel a bit shaken though,fear
i used to feel from your music is now gone and it has been replaced by a bitter taste in my mouth and a lot of sadness,anger
i kind of struggled with it though and didnt feel like it was super powerful,joy
i feel now so uncomfortable with all of them i guess is me,fear
i sometimes feel i am being stubborn not out of spite but rather in spite of myself,anger
i visited the psychologist all those years ago i really took to heart what he said about not closing myself up and letting others know when i feel uncomfortable etc,fear
i feel hated by jim martin s,anger
i feel that the thighs are being stubborn and not going away at the same rate as stomach arms or butt,anger
i feel you are very charming but do the other people feel very terrible,joy
i feel that we are often at the forefront of what soon becomes popular,joy
i am such a private person and although i won t be going into anything too personal i m feeling anxious just writing this,fear
i felt afraid just before receiving the question paper of the part ii exam,fear
i just don t feel thankful rel bookmark some days i just don t feel thankful posted on a href http babychaser,joy
i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now,joy
i feel compassion for them and understand why they feel insecure,fear
i think whenever we moved to a new place i had to find some way to feel accepted,joy
i feel more irritable and i feel more sensible now than ever,anger
i am feeling resentful it is my choice and i can choose to do things differently next time or even change my choice now,anger
i am going to feel annoyed with myself,anger
i could be really screwed just on waiting for a sitter so i was feeling stressed,anger
i feel rather petty that i just dont have time to have someone talented like christine make it,anger
i was feeling pretty terrified full of nervous energy,fear
i feel assured that it was the right answer,joy
i try explaining my feelings and someone dismisses them blindly i feel frustrated and disinterested in discussing my opinions because they cannot put themselves in my place and know what i have experienced by living there,anger
im not sure if the energy in trying to sew up the race to dubai and competing in the fedex cup has taken more out of me than maybe i thought because while i am feeling ok physically mentally i feel really tired he said,joy
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,joy
i been so acquainted with sleep i feel like i should name it to ensure im not being rude or maybe it has a name already,anger
i feeling shy,fear
i feel tortured by this thought but it feels so true,fear
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy
i feel petty moaning about it but its annoying me so from now on im keeping my stuff in a bag in my room if they ask i can always say im keeping it there to stop the bathroom getting cluttered,anger
i feel pretty mellow so far about whatever healing wounding process may be getting underway,joy
i didn t feel alarmed at all,fear
i do not worry about every nuance of my day and its presentation to others less little things to worry about and that makes me feel less neurotic overall and less likely to trigger psychotic episodes as well,fear
i have lost kg and feeling fab,joy
i said sir i feel from real time company experience that mba would be more valuable for my career than gate since most work now a days in it companies now is support based,joy
i know we create our own destiny but do you ever feel resentful for the way your life turned out,anger
i can feel the amused smile that tugs at my lips,joy
i have the right to feel jealous naman to think na theres no us to begin with,anger
i wasn t thinking negatively about any of those things often the feeling was benign or actually an excited anticipation,joy
i do not however feel in any way hostile to anyone or capable of violence,anger
i do how empty disappointed angry sad chaotic destructive i feel today im just mad at myself why do i always fuck up shit,anger
i feel shaken and scared,fear
i consulted my aunt a doctor partially because i wanted counsel without copay but mostly because i had a feeling my doctors would be skeptical,fear
i feel about them i still end up nervous and have those naughty butterflies flying around my stomach,fear
i was feeling mad,anger
i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,anger
i feel very lucky and it is nice to be able to buy some lovely resources for the little ones i care for,joy
i know at least one other person besides myself was feeling nervous and anxious about getting started,fear
i feel so uptight about it because i know you hate it and are constantly trying to catch glimpses of the tv in the window and listen to it,fear
i didnt feel much like me but thats largely resolved itself,joy
i want or need to hear to make me feel valued,joy
im feeling indecisive and it scares me,fear
i feel this is very dangerous,anger
i could feel was peace which was welcomed after a week of packing saying good bye and dealing with an overwhelming feeling of displacement,joy
i alba i feel good and im fitting in,joy
i feel like the most hated person on the planet for turning brendon down,anger
i came to the place on base because i wasnt feeling like i should wander too far afield but now i wish i had been more adventurous as i have heard wonderful things about those salons,joy
im feeling rebellious and need to do something to relieve some of the turmoil in my body,anger
i was feeling so spiteful i brought it up and i saw the hurt in his face,anger
i can t get past is that feeling when a friend walks out of your life and you re unsure why that feeling of not being valued or important enough,fear
i feel ok lol,joy
i dont know why but i feel emotionally assaulted by this fact,fear
i feel friendly when i hate you,joy
im feeling a little gun shy about this,fear
i hope to feel a bit more creative again soon and miss its presence in my life blog,joy
i resent you as much as i do that i feel needlessly and unreasonably angry whenever you re around that the slightest idiosyncrasies of yours make me sick,anger
i know you cant just ged rid of your feelings but seriously i dont see your parents supporting you dating a guy who s their age,joy
im feeling very hopeful about that and this seems like a good time for me to switch doctors too,joy
i think nicely sums up the feeling of talking too much about artistic pursuits,joy
i could almost feel it as the flames singed and tortured her frail delicate body leaving nothing behind but a foul smelling concoction of wood and burnt flesh,fear
ive just spent the last half hour feeling ridiculously angry over insensitive comments from my partner but that all changed a few minutes ago to real pride over how much i have changed,anger
i feel like a proud mother watching their child grow and develop into an adult and quite seriously my business is like a child to me,joy
i was feeling really frantic i knew i had to find james there too,fear
i just woke up from my nap and i feel extremely agitated and grumpy,fear
i don t know i ve not tried a new character yet the universe feels much more lively than it did when i began so i m hoping that s true for new characters as well,joy
i feel that some violent natures are generic,anger
when people harrass me i feel oppressed by their behavior,anger
i bet taylor swift basks in the knowledge that the boys she writes songs about probably feel tortured,fear
i only have a couple of things left to make and at the start of december i am done and feeling smug,joy
i havent exactly gone for a spin around the block yet since id feel strange strapping in a teddy bear in place of a baby but it looks nice and sturdy and like it will do the trick,fear
i start to feel unsure,fear
i feel apprehensive while opening the blue door,fear
i feel uncertain about something i will act in a more positive and powerful way,fear
i know you contributed to my success but i am just feeling petty enough today to ignore those contributions,anger
when i happen to witness some sadistic acts,anger
i hope to see or feel a mad glint in your eye because some madness some pathological curiosity is needed,anger
i don t know if i have told this to you but i feel intimidated by how smart you are,fear
i want to tell you what im feeling but i dont know where to start i want to tell you everything but im afraid youll break my heart why would something easy be so hard to do,fear
i just need to express my feeling badly ignore this if i offended you,anger
i feel you i can t take more than mg of seroquel either because the restless leg syndrome keeps me awake all night,fear
im just really hurting and feeling a bit overwhelmed,fear
i feel entirely free to express the way i feel about surroundings my life and the myriad of experiences that continue to make me who i am,joy
my mother did not come home till late at night ages ago anyway if i dont know where my parents are and when theyll be back i start thinking that perhaps they have had an accident and are perhaps dead,fear
i feel so overwhelmed im nauseous,fear
i feel like im selfish,anger
i feel like i m a very very dangerous human being right now,anger
im taking advantage of feeling artistic incase it runs away again bell had her baby the other day yay,joy
i manage to reach a conclusion after all my musings i feel somehow more resolved,joy
i feel heartless now feeling bored and not believe in love anymore,anger
i feel bashful under his teasing scrutiny,fear
i doing something that make you feel bothered,anger
i don t want to cry either because i know she ll think i feel tortured having to eat the black part of the rice,anger
i feel greedy and selfish,anger
i feel so invigorated so focused about what im being led to pursue right now and in the future,joy
i feel shy when people reading these but i am writing it here so brothers and sisters would see how real life works,fear
i feel so violent but im a paper tiger,anger
i feel like i should try to calm her down shes been very good to me since the games ended but i can see katniss getting more and more tense with every schedule adjustment,joy
i feel especially vulnerable to being treated as a second class citizen,fear
i could feel that the person was pissed at me because that person didnt understand what i was trying to say and so there was further personal attack again asking me whats my nationality giving me that shit face and blah blah,anger
i remember two specific things from that class feeling terrified of my teacher who would repeat the same question in spanish with increasing volume until his victim either managed to answer correctly or ran away screaming and feeling distracted by the cute boy who helped me study for tests,fear
i love those ted talks i feel intimidated more than inspired because greater than great can be found in simplicity too,fear
i know tv isnt everyones cup of tea so if that includes you feel free to scroll down a bit,joy
i still feel a bit overwhelmed,fear
ive been hanging around younger people and when i am with them i feel like im but when i see the photos of us together i am suddenly shaken to see just how old i look,fear
im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,joy
i feel so honored to know all of you,joy
i have a feeling i may be popular with the lady folk,joy
i feel that the out of people that i encounter in the day that are rude and mean to me for no reason at all,anger
i feel so tranquil right now its great,joy
i put up my christmas tree and im feeling fairly festive,joy
i feel like i should have some wine or something i was amused,joy
i feel quite nervous and scared too x scared cos ill be taking the plane back to singapore on my own cos i cant stay as long as my two other friends have planned t,fear
i feel like i shouldnt have even bothered,anger
i think most people have little problem expressing but once in a while i can t help but feel that we shouldn t be afraid to let it all hang out there and express the other emotions that don t get nearly as much airtime,fear
i know what i believe and how i feel but some part of me is still hesitant because the old me would have said that anyone who believed there was a god was crazy,fear
i sometimes feel so vulnerable and so lost,fear
i feel uncertain if the most of similar families can be reached the uncertainty does not preclude us from serving those we can in the meantime while discovering the ways to reach the others,fear
i am saying that i am feeling helpless now that i have to walk on toes,fear
i feel like someone s strange uncle trying to break the ice at a party by showing this amazing talent thinking that guests will be impressed but in turn just made everything a hundred times more awkward,fear
i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive,anger
i do feel amused by all the different debates going on but on the other hand i felt that theres something missing,joy
i feel like i can breath now and not be so rushed,anger
i lived her life without the feeling of acceptance she felt as though trouble and misery followed her everywhere she went and that everyone hated her because of it,anger
im still feeling a little shaky as i write this post,fear
ive been feeling restless in my career,fear
i give probably to the degree that some might see as too much but if i feel taken advantage of or wronged in any sense i have absolutely no problem shutting it down and walking away,anger
im feeling irritated by her friggin name,anger
i was a child i stole rmb from my grandfather maternal and i feel i exceptionally wronged him,anger
im feeling queezy and cant be bothered putting these in order so here goes,anger
i feel like a dangerous animal as i prowl out of the jungle and onto the warm sand of this deserted island,anger
i know it signifies him feeling not dangerous secure and relaxed so i don t guess it is causing him any undue stress,anger
i look back and i feel so incredibly satisfied with my life refreshed ready for my next adventure,joy
i remember feeling so hellip furious with the shooter,anger
i do not want to accept that it s inevitable that we all become grumpy old men and women as we age and i do not want to accept that feeling irritated and annoyed by trivial little things is normal,anger
i feel i should probably move on to the meat of my story before i get too distracted by the side dishes what happened to good music,anger
i get nothing and i really want to feel like if someone likes me for who i am not for my stubborn sister,anger
i reached down to feel what that strange sensation was and i felt something there,fear
ill smoke a few cigarettes because im feeling a little nervous,fear
i am feeling increasingly hopeful,joy
i don t a feel like an idiot and b not get illogically mad at people for going to bed too early sorry for the anger family,anger
im feeling rather impatient with these rainbows bursting in my veins,anger
id be more use at that level which would make the job feel more worthwhile and the season is basically half as long,joy
i male are stupid first for woman cry babies and should get over it and you feel really cool for putting the stupid men in their place,joy
i feel disgusted c kj rel bookmark class permalink nov middot,anger
i guess the trick is i need to go in strong and get what i want and not feel bashful over it,fear
i do not feel frantic,fear
i feel like a total bitchy person today yay,anger
i always plant a big section of lettuce and i leave it open for those pesky bunnies so that they can feel all rebellious as if they are raiding my garden,anger
i was feeling very unsure as to whether or not i should continue to blog at all,fear
i haven t been able to shake this akward and unusual feeling i feel irritable and space out all the time feels like i was surged as well as my computer,anger
i am now drunk again and feel fab,joy
i am feeling a little uncertain as i am waiting to hear from my land lady to confirm a date and receive my contract,fear
i feel strange coming back to work after my one day holiday,fear
i feel so lucky to have the opportunity to be here,joy
i was escorting a relative on a bike,fear
im not necessarily sure what but something in the education system must change or students can feel anxiety and pressure with needing to be flawless with their vast knowledge of the world,joy
i needed to feel rebellious,anger
i didnt tell you because i didnt want you to feel afraid,fear
i do not feel comfortable staying in my house i feel relentless when im asked to do something tired almost all the time and bored without my own money,joy
i may not be rich by material standards but i feel very rich because i am grateful for what i have,joy
im also feeling cranky about it because the main characters scientist brother observing the moon mentions that there is zero gravity there,anger
i did feel a little less inhibited in class tonight,fear
i am suddenly feeling very energetic,joy
i was a bit more bouncier than usual i didnt feel as grouchy about everything as normal,anger
i think i can finally articulate it the prius is in its own shiny happy al gore wearing patagonia in alaska way somewhat insidious in that it makes driving feel like a virtuous act,joy
im feeling irritable and sick,anger
i came home one day and discovered that my sister had borrowed my car and had gotten into an accident with it my entire front bumper was destroyed,anger
i feel somewhat alarmed,fear
i have written but you feel the need to point out that someone somewhere could be offended if they were to read my words out of context knowing nothing about me and after having a really bad day do not bother to inform me of this,anger
i was left feeling bothered by it for a long time afterwards,anger
i feel like this could be a dangerous topic if anyone feels passionately about pianos but its been on my mind for a while and i thought it was worth discussing not because im going to paint my piano which i grew up with so please stop hyperventilating mom,anger
i know its easy to twist things to create an explanation and im still not sure i have one but it did help me to feel a little less mad,anger
i feel very dissatisfied with myself,anger
i cough alot more and feel somewhat irritable at times,anger
i feel like this concert was much more successful than the previous one,joy
i feel strange and weird about this entire struggle am i the only one who deals with this kind of conflict,fear
i got inside it was so warm compared to the outside temp that my survivor man skills kicked in and i stripped down to my base layers to avoid feeling cold when i got back outside,anger
im feeling at my creative best rather than that of a student who has a deadline to meet,joy
ive been feeling a little frantic recently because our summer together is flying by so quickly,fear
i mean geez cara was raised not to feel compassion she had all love and feeling tortured and beaten from her at a very young age thats how the mord sith work,anger
i am sharing information that i feel is important to personal safety and empowerment parenting and living well,joy
i try to remember that quote when i feel i may be hitting a wall in a marathon or even a training run and i know it is time to find that perfect song that fuel,joy
i am feeling a little adventurous so i will try to see if we can spook our pretty lady,joy
i was just randomly talking about it and how i found the once more with feeling cd and listened to it and was quite eager to watch the show again,joy
i met people from every corner of the globe so now when i am feeling restless and my finances will allow me i am can pick a spot see people that i really care about and have an adventure with them in their homelands,fear
i can do to that would truly express the utter gratitude and thankfulness i feel for your sincere gesture and i am very grateful,joy
i feel scared rather than curl up like a threatened porcupine,fear
i feel no matter how convinced i am that i am all alone on this life journey of mine i am not alone,joy
i am writing this i remember between feeling assured i wasnt dead and checking the window that me and my mom started fighting,joy
i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,joy
i feel intimidated like i just want to turn around and head back into the safety of my yoga class or hop on the tried and trusty treadmill,fear
i write and share my feelings family events useful products good food exciting trips kitchen endeavors as well as occasional musings,joy
i this feels rebellious to me,anger
i remember a totally different feel having been a faithful dukes watcher growing up,joy
im feeling confused but ill keep trudging through,fear
i got my eyebrows waxed the other day and i feel glamorous,joy
i seriously feel uncomfortable,fear
i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts,joy
i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,joy
im creature of feelings i evaluate life on my feelings dangerous,anger
i kept feeling enraged that she was in too,anger
i feel a bit hesitant about the whole thing given my past two experiences and the fact that i m going to start a new novel while i work on my current wip because i feel like it would be cheating to count the words on my current wip even though i m only about words into it,fear
i wanted to not feel frightened anymore,fear
i can stop feeling jealous,anger
