Quotes,Writter name
Pierre was right when he said that one must believe in the possibility of happiness in order to be happy and I now believe in it Let the dead bury the dead but while Im alive I must live and be happy,Leo Tolstoy
"Die schwere Verwundung Gregors an der er ber einen Monat litt  derApfel blieb da ihn niemand zu entfernen wagte als sichtbares Andenkenim Fleische sitzen  schien selbst den Vater daran erinnert zu habenda Gregor trotz seiner gegenwrtigen traurigen und ekelhaften Gestaltein Familienglied war das man nicht wie einen Feind behandeln durftesondern dem gegenber es das Gebot der Familienpflicht war denWiderwillen hinunterzuschlucken und zu dulden nichts als dulden
    
  ","Franz Kafka,"
"Selfcontrol is something for which I do not strive Selfcontrol means wanting to be effective at some random point in the infinite radiations of my spiritual existence
    
  ",Franz Kafka
Freedom is the freedom to say that two plus two make four,George Orwell
I was talking aloud to myself A habit of the old they choose the wisest person present to speak to,J.R.R. Tolkien
"Yet even if I manage that one single slip and a slip cannot be avoided will stop the whole process easy and painful alike and I will have to shrink back into my own circle again
    
  ",Franz Kafka
Then I went on and my feet seemed to be a long way off and everything seemed to come from a long way off and I could hear my feet walking a great distance away,Ernest Hemingway
"How frozen I became and powerless then

Ask it not reader for I write it not

Because all language would be insufficient

I did not die and I alive remained not

Think for thyself now hast though ought of wit

What I became being of both deprived",Dante Alighieri
Its not given to people to judge whats right or wrong People have eternally been mistaken and will be mistaken and in nothing more than in what they consider right and wrong,Leo Tolstoy
Imagine me I shall not exist if you do not imagine me,Vladimir Nabokov
I am thee and thou art me and all of one is the other,Ernest Hemingway
How beautiful and sad that was How beautiful the words were where they said Bury me in the old churchyard A tremor passed over his body How sad and how beautiful He wanted to cry quietly but not for himself for the words so beautiful and sad like music The bell The bell Farewell O farewell,James Joyce
A man that flies from his fear may find that he has only taken a short cut to meet it,J.R.R. Tolkien
God of the golden wand why have you come A beloved honored friend but its been so long your visits much too rare Tell me whats on your mind Im eager to do it whatever I can do    whatever can be done,Homer
Im scared of stuff so nice I aint got faith Im scared somepin aint so nice about it,John Steinbeck
Gollums eyes glinted He doesnt know what we minds does he precious,J.R.R. Tolkien
Up ahead theys a thousan lives we might live but when it comes itll ony be one,John Steinbeck
The cloud of caring for nothing which overshadowed him with such a fatal darkness was very rarely pierced by the light within him,Charles Dickens
 Do not swear by the moon for she changes constantly Then your love would also change,William Shakespeare
The wise speak only of what they know,J.R.R. Tolkien
Justice is not Healing Healing cometh only by suffering and patience and maketh no demand not even for Justice,J.R.R. Tolkien
I am what you designed me to be I am your blade You cannot now complain if you also feel the hurt,Charles Dickens
He no longer dreamed of storms nor of women nor of great occurrences nor of great fish nor fights nor contests of strength nor of his wife He only dreamed of places now and of the lions on the beach They played like young cats in the dusk and he loved them as he loved the boy,Ernest Hemingway
Maybe I did not live as I ought to have done it suddenly occurred to him But how could that be when I did everything properly he replied and immediately dismissed from his mind this the sole solution of all the riddles of life and death as something quite impossible,Leo Tolstoy
Loud heap miseries upon us yet entwine our arts with laughters low,James Joyce
Think now and then that there is a man who would give his life to keep a life you love beside you,Charles Dickens
If you love me as you say she whispered do so that I may be at peace,Leo Tolstoy
 Better three hours too soon than a minute too late,William Shakespeare
A man shut up between four walls soon loses the power to associate words and ideas together How many prisoners in solitary confinement become idiots if not mad for want of exercise of the thinking faculty,Jules Verne
Estella to the last hour of my life you cannot choose but remain part of my character part of the little good in me part of the evil But in this separation I associate you only with the good and I will faithfully hold you to that always for you must have done me far more good than harm let me feel now what sharp distress I may O God bless you God forgive you,Charles Dickens
So comes snow after fire and even dragons have their ending,J.R.R. Tolkien
 When words are scarce they are seldom spent in vain,William Shakespeare
 For you in my respect are all the world,William Shakespeare
"No writer in our time has been more isolated than Kafka and yet few have achieved communication as well as he did
    
  ",Eugenio Montale
The creatures outside looked from pig to man and from man to pig and from pig to man again but already it was impossible to say which was which,George Orwell
 I am one who loved not wisely but too well,William Shakespeare
You may be an undigested bit of beef a blot of mustard a crumb of cheese a fragment of an underdone potato Theres more of gravy than of grave about you whatever you are,Charles Dickens
It should be Christmas Day I am sure said she on which one drinks the health of such an odious stingy hard unfeeling man as Mr Scrooge You know he is Robert Nobody knows it better than you do poor fellow    Ill drink his health for your sake and the Days    not for his Long life to him A merry Christmas and a happy new year Hell be very merry and very happy I have no doubt,Charles Dickens
May it be a light to you in dark places when all other lights go out,J.R.R. Tolkien
Do not imagine comrades that leadership is a pleasure,George Orwell
 Nothing can come of nothing,William Shakespeare
She had nothing to wish otherwise but that the days did not pass so swiftly It was a delightful visitperfect in being much too short,Jane Austen
Her hazel eyes seemed to have experienced all possible tragedy and to have mounted pain and suffering like steps into a high calm and a superhuman understanding,John Steinbeck
I cannot fix on the hour or the spot or the look or the words which laid the foundation It is too long ago I was in the middle before I knew that I had begun,Jane Austen
I hope that real love and truth are stronger in the end than any evil or misfortune in the world,Charles Dickens
a note on paper of an archaic shape in a thin flowing calligraphy in faded ink to the effect that she no longer went out at all The tax notice was also enclosed without comment,William Faulkner
  with so much of my heart that none is left to protest,William Shakespeare
"ntro diminea Igor ansa se trezi metamorfozat ntrun pion
    
  ","Ionut Iamandi,"
Everything I know I know because of love,Leo Tolstoy
Farewell King under the Mountain This is a bitter adventure if it must end so and not a mountain of gold can amend it Yet I am glad that I have shared in your perils  that has been more than any Baggins deserves,J.R.R. Tolkien
I wished I had died before I ever loved anyone but her,Ernest Hemingway
News from afar is seldom sooth,J.R.R. Tolkien
"At the same time all the houses round about promptly took part in this silence and so did the darkness above them reaching as far as the stars And the footsteps of invisible passersby whose course I had no wish to guess at the wind that kept on driving against the other side of the street the gramophone singing behind closed windows in some room  they made themselves heard in this silence as if they had owned it for ever and ever
    
  ","Franz Kafka,"
"Of course Kafka doesnt see himself as a sort of party He doesnt even pretend to be revolutionary whatever his socialist sympathies may be He knows that all the lines link him to a literary machine of expression for which he is simultaneously the gears the mechanic the operator and the victim So how will he proceed in this bachelor machine that doesnt make use of and cant make use of social critique How will he make a revolutionHe will act on the German language such as it is in Czechoslovakia Since it is a deterritorialized language in many ways he will push the deterritorialization farther not through intensities reversals and thickenings of the language but through a sobriety that makes language take flight on a straight line anticipates or produces its segmentations Expression must sweep up content the same process must happen to form It is not a politics of pessimism nor a literary caricature or a form of science fiction
    
  ","Gilles Deleuze,"
Billy knew he had been infallible before that and now he was capable of failure ,John Steinbeck
Windmill or no windmill  life would go on as it had always gone on  that is badly,George Orwell
Death may beget life but oppression can beget nothing other than itself,Charles Dickens
It is so delightful to have an evening now and then to oneself,Jane Austen
"The Seven Commandments

Whatever goes upon two legs is an enemy

Whatever goes upon four legs or has wings is a friend

No animal shall wear clothes

No animal shall sleep in a bed

No animal shall drink alcohol

No animal shall kill any other animal

All animals are equal",George Orwell
Feeling herself suddenly shriveled aged breastless the grinding blowing flowering of the day out of doors out of the window out of her body and brain which now failed,Virginia Woolf
It is because I think so much of warm and sensitive hearts that I would spare them from being wounded,Charles Dickens
 Better a witty fool than a foolish wit,William Shakespeare
"The anguish of the people

Who are below here in my face depicts

That pity which for terror thou has taken",Dante Alighieri
Dear and most respected bookcase I welcome your existence which has for over one hundred years been devoted to the radiant ideals of goodness and justice,Anton Chekhov
Septimus was one of the first to volunteer He went to France to save an England which consisted almost entirely of Shakespeares plays and Miss Isabel Pole in a green dress walking in a square There in the trenches the change which Mr Brewer desired when he advised football was produced instantly he developed manliness ,Virginia Woolf
I swear by the greatest grimmest oath that binds the happy gods,Homer
Let us never underestimate the power of a wellwritten letter,Jane Austen
"All right then Ill be mad at you on this score which incidentally is no great misfortune as things balance out quite well if theres a little anger for you lurking in one corner of my heart
    
  ","Franz Kafka,"
"Cohn I cant stand it to think my life is going so fast and Im not really living it

Jake Nobody ever lives their life all the way up except bullfighters",Ernest Hemingway
 Be not afraid of greatness Some are born great some achieve greatness and others have greatness thrust upon them,William Shakespeare
Business cried the Ghost wringing its hands again Mankind was my business The common welfare was my business charity mercy forbearance and benevolence were all my business The dealings of my trade were but a drop of water in the comprehensive ocean of my business,Charles Dickens
To understand is to forgive,Ernest Hemingway
I am only resolved to act in that manner which will in my own opinion constitute my happiness without reference to you or to any person so wholly unconnected with me,Jane Austen
My meaning simply is that whatever I have tried to do in life I have tried with all my heart to do well that whatever I have devoted myself to I have devoted myself to completely that in great aims and in small I have always been thoroughly in earnest,Charles Dickens
One cannot be always laughing at a man without now and then stumbling on something witty,Jane Austen
Nothing say you Perhaps so nothing but a charming woman who strange as it may appear made him the happiest of men,Jules Verne
You fear the world too much she answered gently All your other hopes have merged into the hope of being beyond the chance of its sordid reproach I have seen your nobler aspirations fall off one by one until the masterpassion Gain engrosses you Have I not,Charles Dickens
Is not general incivility the very essence of love,Jane Austen
He is cured by faith who is sick of fate,James Joyce
In his work itself especially in his examinations he very soon acquired a method of eliminating all considerations irrelevant to the legal aspect of the case and reducing even the most complicated case to a form in which it would be presented on paper only in its externals completely excluding his personal opinion of the matter while above all observing every prescribed formality,Leo Tolstoy
There remained one resource to speak English Perhaps they would know this almost universal language I knew itas well as the German languagewell enough to read it fluently but not to speak it correctly But anyhow we must make ourselves understood,Jules Verne
"Milena ltfen bana yardm edin Syleyebildiklerimden daha da fazlasn anlamaya aln
    
  ","Franz Kafka,"
"Ich glaube man sollte berhaupt nur noch solche Bcher lesen die einen beien und stechen Wenn das Buch das wir lesen uns nicht mit einem Faustschlag auf den Schdel weckt wozu lesen wir dann das Buch Ein Buch mu die Axt sein fr das gefrorene Meer in uns
    
  ",Franz Kafka
She was without any power because she was without any desire of command over herself,Jane Austen
 In black ink my love may still shine bright,William Shakespeare
Thats the one place in all the lands weve ever heard of that we dont want to see any closer and thats the one place were trying to get to And thats just where we cant get nohow,J.R.R. Tolkien
Standing there I wondered how much of what we had felt on the bridge was just hunger I asked my wife and she said I dont know Tatie There are so many sorts of hunger In the spring there are more But thats gone now Memory is hunger,Ernest Hemingway
The earth does not want new continents but new men,Jules Verne
"Deca Kafka que hay que escribir como si estuvieras muerto y hace tiempo que me he quedado sin papel y ya siento cmo el fro va sustituyendo mi alma
    
  ","Ainhoa Rebolledo,"
Yet do not cast all hope away Tomorrow is unkown Rede oft is found at the rising of the Sun,J.R.R. Tolkien
To crooked eyes truth may wear a wry face,J.R.R. Tolkien
The coward dies a thousand deaths the brave but one,Ernest Hemingway
"I made response to him with bashful forehead

Oh of the other poets honor and light

Avail me the long study and great love

That have impelled me to explore thy volume

Thou art my master and my author thou

Thou art alone the one from whom I took

The beautiful style that has done honor to me",Dante Alighieri
Because of the selfconfidence with which he had spoken no one could tell whether what he said was very clever or very stupid,Leo Tolstoy
"Kafka said A bookmust be an axefor the frozen sea inside us which sounds great but what good is an axe against a frozen seaPerhaps this is whyhe said while dyingDestroy everything
    
  ",Matt Rasmussen
This miserable fate Suffer the wretched souls of those who livd Without or praise or blame with that ill band Of angels mixd who nor rebellious provd Nor yet were true to God but for themselves Were only,Dante Alighieri
"They turned to me with signs of salutation

And on beholding this my Master smiled

And more of honor still much more they did me

In that they made me one of their own band

So that the sixth was I mid so much wit",Dante Alighieri
He felt an uncertainty in the air a feeling of change and of loss and of the gain of new and unfamiliar things,John Steinbeck
Heresy is the foe of countenance,Ernest Hemingway
If the others heard me talking out loud they would think that I am crazy But since I am not crazy I do not care,Ernest Hemingway
Your defect is a propensity to hate everybody And yours he replied with a smile is willfully to misunderstand them,Jane Austen
There are occasions when it pays better to fight and be beaten than not to fight at all,George Orwell
There is a wisdom of the head and there is a wisdom of the heart,Charles Dickens
But I am sure I have always thought of Christmas time    as a good time    the only time I know of in the long calendar of the year when men and women seem by one consent to open their shutup hearts freely and to think of people below them as if they really were fellowpassengers to the grave    ,Charles Dickens
Bah said Scrooge Humbug,Charles Dickens
It is not our part here to take thought only for a season or for a few lives of Men or for a passing age of the world We should seek a final end of this menace even if we do not hope to make one,J.R.R. Tolkien
We changed again and yet again and it was now too late and too far to go back and I went on And the mists had all solemnly risen now and the world lay spread before me,Charles Dickens
It is a comfort not to be mistaken at all points Do I not know it only too well,J.R.R. Tolkien
 And oftentimes excusing of a fault doth make the fault the worse by the excuse,William Shakespeare
"Art is not religion it doesnt even lead to religion But in the time of distress which is ours the time when the gods are missing the time of absence and exile art is justified for it is the intimacy of this distress the effort to make manifest through the image the error of the imaginary and eventually the ungraspable forgotten truth which hides behind the error
    
  ","Maurice Blanchot,"
"Even if no salvation should come I want to be worthy of it at every moment
    
  ",Franz Kafka
Selfishness must always be forgiven you know because there is no hope of a cure,Jane Austen
Everything about him was old except his eyes and they were the same color as the sea and were cheerful and undefeated,Ernest Hemingway
But listen to me first and swear an oath to use all your eloquence and strength to look after me and protect me,Homer
The distance is nothing when one has motive,Jane Austen
The night can be a dreadful time for lonely people once their loneliness has started,Ernest Hemingway
And O there are days in this life worth life and worth death,Charles Dickens
In sorrow we must go but not in despair Behold we are not bound for ever to the circles of the world and beyond them is more than memory,J.R.R. Tolkien
In my little street however domesticity prevailed The house painter was descending his ladder the nursemaid was wheeling the perambulator,Virginia Woolf
I know people who are so immersed in road maps that they never see the countryside they pass through and others who having traced a route are held to it as through held by flanged wheels to rails,John Steinbeck
Silly things do cease to be silly if they are done by sensible people in an impudent way,Jane Austen
Oh darling Brett said Im so miserable I had that feeling of going through something that has all happened before You were happy a minute ago,Ernest Hemingway
All manner of people grew interested in Kino  people with things to sell and people with favors to ask,John Steinbeck
All of the time Juana had been trying to rescue something of the old peace of the time before the pearl But now it was gone and there was no retrieving it And knowing this she abandoned the past instantly,John Steinbeck
Follies and nonsense whims and inconsistencies do divert me I own and I laugh at them whenever I can,Jane Austen
I only entreat everybody to believe that exactly at the time when it was quite natural that it should be so and not a week earlier Edmund did cease to care about Miss Crawford and became as anxious to marry Fanny as Fanny herself could desire,Jane Austen
Its a beautiful thing the destruction of words,George Orwell
His grief he will not forget but it will not darken his heart it will teach him wisdom,J.R.R. Tolkien
"My idea of good companyis the company of clever wellinformed people who have a great deal of conversation that is what I call good company 

You are mistaken said he gently that is not good company that is the best",Jane Austen
"I havent reread Kafka for forty years I had a second readthrough when first teaching English at the University of Warwick in the s but since then have not been tempted to return The reason for this I suspect is that he is a young persons writer not in the sense that only the young can appreciate him but because on first exposure he is so comprehensively and unexpectedly formative that you may never feel the need to read him again He becomes part of you and your mind and spirit and view of the human condition are inhabited by his stories his views and especially his characters by poor persecuted Josef K by Gregor Samsa trapped in his rotting shell by the hunger artist yearning to find something anything that is actually good to eat by poor K who cant get into the castle to visit the Authorities Kafkaesque a world incomprehensible alienating and threatening absurd We visit it with incomprehension and at our peril lost at all points disorientated inoculated against faith searchers for meaning in a book  and universe that either has none or in which it lurks inaccessibly Once you have read Kafka you know this
    
  ","Rick Gekoski,"
Indeed if woman had no existence save in the fiction written by men one would imagine her a person of the utmost importance  But this is woman in fiction In fact as Professor Trevelyan points out she was locked up beaten and flung about the room,Virginia Woolf
"At this point almost against his will he looked at the face of the corpse It was as it had been in his life He could discover no sign of the promised transfiguration What all the others had found in the machine the Officer had not His lips were pressed firmly together his eyes were open and looked as they had when he was alive his gaze was calm and convinced The tip of a large iron needle had gone through his forehead
    
  ","Franz Kafka,"
Jody did not ask where his father and Billy Buck were riding that day but he wished he might go along His father was a disciplinarian Jody obeyed him in everything without questions of any kind,John Steinbeck
 How poor are they that have not  What wound did ever heal but by degrees,William Shakespeare
However everything has an end everything passes away even the hunger of people who have not eaten for fifteen hours Our appetites satisfied we felt overcome with sleep,Jules Verne
Literature is open to everybody I refuse to allow you Beadle though you are to turn me off the grass Lock up your libraries if you like but there is no gate no lock no bolt that you can set upon the freedom of my mind,Virginia Woolf
He was much changed and grown even thinner since Pyotr Ivanovich had last seen him but as is always the case with the dead his face was handsomer and above all more dignified than when he was alive,Leo Tolstoy
There comrades is the answer to all our problems It is summed up in a single word Man,George Orwell
Dont be afraid We wont make an author of you while theres an honest trade to be learnt or brickmaking to turn to,Charles Dickens
Never slip the silver key of gate through your golden age,James Joyce
"Cunto la hemos hecho sufrir por tu forma de ser y cunto la hiciste t sufrir por la nuestra sin considerar las ocasiones en que tenas razn porque ella nos protega a pesar de que esa proteccin ha debido muchas veces ser una especie de respuesta subconsciente manifiesta y silenciosa contra tu autoritarismo p 
    
  ","Franz Kafka,"
Happy families are all alike every unhappy family is unhappy in its own way,Leo Tolstoy
"Do you realize that people dont know how to read Kafka simply because they want to decipher him Instead of letting themselves be carried away by his unequaled imagination they look for allegories  and come up with nothing but clichs life is absurd or it is not absurd God is beyond reach or within reach etc You can understand nothing about art particularly modern art if you do not understand that imagination is a value in itself
    
  ",Milan Kundera
We are going round the world,Jules Verne
Dont tell me the moon is shining show me the glint of light on broken glass,Anton Chekhov
Maybe we all have in us a secret pond where evil and ugly things germinate and grow strong But this culture is fenced and the swimming brood climbs up only to fall back Might it not be that in the dark pools of some men the evil grows strong enough to wriggle over the fence and swim free,John Steinbeck
To wish was to hope and to hope was to expect,Jane Austen
I must be taken as I have been made The success is not mine the failure is not mine but the two together make me,Charles Dickens
 Tis not enough to help the feeble up but to support them after,William Shakespeare
 O thou invisible spirit of wine if thou hast no name to be known by let us call thee devil,William Shakespeare
Only old Benjamin professed to remember every detail of his long life and to know that things never had been nor ever could be much better or much worsehunger hardship and disappointment being so he said the unalterable law of life,George Orwell
"I remember hearing you once say Mr Darcy that you hardly ever forgave that your resentment once created was unappeasable You are very cautious I suppose as to its being created

I am said he with a firm voice

And never allow yourself to be blinded by prejudice

I hope not",Jane Austen
My advice is never do tomorrow what you can do today Procrastination is the thief of time Collar him,Charles Dickens
Wait a few minutes our lantern will be lit and if you like light places you will be satisfied,Jules Verne
Then tell the Wind and Fire where to stop but dont tell me,Charles Dickens
Mens courses will foreshadow certain ends to which if persevered in they must lead said Scrooge But if the courses be departed from the ends will change Say it is thus with what you show me,Charles Dickens
Because no battle is ever won he said They are not even fought The field only reveals to man his own folly and despair and victory is an illusion of philosophers and fools,William Faulkner
And what an example of the power of dress young Oliver Twist was,Charles Dickens
It is required of every man the Ghost returned that the spirit within him should walk abroad among his fellowmen and travel far and wide and if that spirit goes not forth in life it is condemned to do so after death It is doomed to wander through the worldoh woe is meand witness what it cannot share but might have shared on earth and turned to happiness,Charles Dickens
I wish as well as everybody else to be perfectly happy but like everybody else it must be in my own way,Jane Austen
"Everything begins when you understand that you and you above all are Max Brod this for W is the founding principle That you whoever you are are Max Brod and everyone else whoever that might be is Franz Kafka Which is to say you will never understand anyone else and are endlessly guilty before them and that even with the greatest effort of loyalty you will betray them at every turn
    
  ",Lars Iyer
The personality of the artist at first a cry or a cadence or a mood and then a fluid and lambent narrative finally refines itself out of existence impersonalizes itself so to speak The esthetic image in the dramatic form is life purified in and reprojected from the human imagination The mystery of esthetic like that of material creation is accomplished The artist like the God of creation remains within or behind or beyond or above his handiwork invisible refined out of existence indifferent paring his fingernails,James Joyce
THROUGH me you pass into the city of woe Through me you pass into eternal pain Through me among the people lost for aye Justice the founder of my fabric movd To rear me was the task of power divine Supremest wisdom and primeval love Before me things create were none save things Eternal and eternal I endure All hope abandon ye who enter here,Dante Alighieri
The thousand times he had proved it meant nothing Now he was proving it again,Ernest Hemingway
He never spoke to her He loved her madly,Vladimir Nabokov
I done me best when I was let Thinking always if I go all goes A hundred cares a tithe of troubles and is there one who understands me One in a thousand of years of the nights All me life I have been lived among them but now they are becoming lothed to me,James Joyce
 Will you be good Sir she exclaimed stamping her foot on the ground The reason for this and the reason for that indeed You are always wanting the reason No reason There Hoity toity me I am sick of your grownup reasons ,Charles Dickens
It is not time or opportunity that is to determine intimacyit is disposition alone Seven years would be insufficient to make some people acquainted with each other and seven days are more than enough for others,Jane Austen
 My tongue will tell the anger of my heart or else my heart concealing it will break,William Shakespeare
And as she looked at him she began to smile for though she had not said a word he knew of course he knew that she loved him He could not deny it And smiling she looked out of the window and said thinking to herself Nothing on earth can equal this happiness,Virginia Woolf
Now fair and marvellous was that vessel made and it was filled with a wavering flame pure and bright and Earendil the Mariner sat at the helm glistening with dust of elvengems and the Silmaril was bound upon his brow ,J.R.R. Tolkien
I shall revenge myself in the cruelest way you can imagine I shall forget it,John Steinbeck
But I will gladly advise him  Ill hide nothing,Homer
I am the chosen of the Lord for who He love so doeth He chastiseth But I be firm if He dont take some curious ways to show it seems like,William Faulkner
Let folly be our cloak a veil before the eyes of the Enemy For he is very wise and weighs all things to a nicety in the scales of his malice But the only measure that he knows is desire desire for power and so he judges all hearts Into his heart the thought will not enter that any will refuse it that having the Ring we may seek to destroy it If we seek this we shall put him out of reckoning,J.R.R. Tolkien
But I am sure I have always thought of Christmas time when it has come roundapart from the veneration due to its sacred name and origin if anything belonging to it can be apart from thatas a good time a kind forgiving charitable pleasant time the only time I know of in the long calendar of the year when men and women seem by one consent to open their shutup hearts freely and to think of people below them as if they really were fellowpassengers to the grave and not another race of creatures bound on other journeys,Charles Dickens
 Maids want nothing but husbands and when they have them they want everything,William Shakespeare
Reflect upon your present blessingsof which every man has manynot on your past misfortunes of which all men have some,Charles Dickens
You are in every line I have ever read,Charles Dickens
What one means one day you know one may not mean the next Circumstances change opinions alter,Jane Austen
In the face of pain there are no heroes,George Orwell
Do not give way to useless alarmthough it is right to be prepared for the worst there is no occasion to look on it as certain,Jane Austen
"Unsichere Fragen und ungeeignetster Augenblick sie zu stellen
    
  ","Kafka, Franz"
There should be more sincerity and heart in human relations more silence and simplicity in our interactions Be rude when youre angry laugh when something is funny and answer when youre asked,Anton Chekhov
"I love you enough now What do you want to do Ruin me

Yes I want to ruin you

Good I said Thats what I want too",Ernest Hemingway
"I carry the bars within me
    
  ",Franz Kafka
Your worst enemy he reflected was your own nervous system At any moment the tension inside you was liable to translate itself into some visible symptom,George Orwell
"There were dark hours of course such as came to everybody in which you thought you had achieved nothing at all in which it seemed to you that only the cases predestined from the start to seucceed came to a good end which they would have reached in any event without your help while every one of the others was doomed to fail in spite of all your manuvres all your exertions all the illusory little victories on which you plumes yourself
    
  ","Franz Kafka,"
It was the popular theme for jests it was the best cure for headache it infallibly prevented the hair from turning grey it imparted a particular delicacy to the complexion it was the National Razor which shaved close who kissed La Guillotine looked through the little window and sneezed into the sack It was the sign of the regeneration of the human race It superseded the Cross Models of it were worn on breasts from which the Cross was discarded and it was bowed down to and believed in where the Cross was denied,Charles Dickens
"My Leader on a sudden seized me up

Even as a mother who by noise is wakened

And close beside her sees the enkindled flames

Who takes her son and flies and does not stop

Having more care of him than of herself",Dante Alighieri
 Small cheer and great welcome makes a merry feast,William Shakespeare
What are eyes anyway Two holes in the mask of life,Vladimir Nabokov
"In quel periodo cominci a leggere Kafka La prima volta prov una sensazione di freddo di gelo insidioso qualche ora dopo aver terminato Il Processo si sentiva ancora intorpidito molle
    
  ","Michel Houellebecq,"
I can listen no longer in silence I must speak to you by such means as are within my reach You pierce my soul I am half agony half hope Tell me not that I am too late that such precious feelings are gone for ever I offer myself to you again with a heart even more your own than when you almost broke it eight years and a half ago,Jane Austen
It is very difficult for the prosperous to be humble,Jane Austen
I seen the guys that go around on the ranches alone That aint no good They dont have no fun After a long time they get mean They get wantin to fight all the time,John Steinbeck
For all their faults I am passing out O bitter ending Ill slip away before theyre up Theyll never see Nor know Nor miss me,James Joyce
There aint no sin and there aint no virtue Theres just stuff people do,John Steinbeck
A woman is not to marry a man merely because she is asked or because he is attached to her and can write a tolerable letter,Jane Austen
"An information bureau of the human condition Theodor Adorno called Kafka
    
  ",David Markson
This supreme quality is felt by the artist when the esthetic image is first conceived in his imagination The mind in that mysterious instant Shelley likened beautifully to a fading coal The instant wherein that supreme quality of beauty the clear radiance of the esthetic image is apprehended luminously by the mind which has been arrested by its wholeness and fascinated by its harmony is the luminous silent stasis of esthetic pleasure a spiritual state very like to that cardiac condition which the Italian physiologist Luigi Galvani using a phrase almost as beautiful as Shelleys called the enchantment of the heart,James Joyce
The earth had donned her mantle of brightest green and shed her richest perfumes abroad It was the prime and vigour of the year all things were glad and flourishing,Charles Dickens
Seldom very seldom does complete truth belong to any human disclosure seldom can it happen that something is not a little disguised or a little mistaken,Jane Austen
But better than joy was calm Imperturbability could be depended upon,John Steinbeck
Its not what is upon this island but what is underneath that interests me,Jules Verne
Only one who loves can remember so well,Anton Chekhov
Colonel Sartoris invented an involved tale to the effect that Miss Emilys father had loaned money to the town which the town as a matter of business preferred this way of repaying,William Faulkner
"The freedom to fail is preserved as a sort of supreme law which guarantees escape at every fresh juncture One is inclined to call this the freedom of the weak person who seeks salvation in defeat His true uniqueness his special relation to power is expressed in the prohibition of victory All calculations originate and end in impotence
    
  ","Elias Canetti,"
If more of us valued food and cheer and song above hoarded gold it would be a merrier world,J.R.R. Tolkien
Oh But he was a tightfisted hand at the grindstone Scrooge a squeezing wrenching grasping scraping clutching covetous old sinner Hard and sharp as flint from which no steel had ever struck out generous fire secret and selfcontained and solitary as an oyster The cold within him froze his old features nipped his pointed nose shrivelled his cheek stiffened his gait made his eyes red his thin lips blue and spoke out shrewdly in his grating voice A frosty rime was on his head and on his eyebrows and his wiry chin He carried his own low temperature always about with him he iced his office in the dogdays and didnt thaw it one degree at Christmas,Charles Dickens
People like you to be something preferably what they are,John Steinbeck
She understood him He could not forgive herbut he could not be unfeeling Though condemning her for the past and considering it with high and unjest resentment though perfectly careless of her and though becoming attached to another still he could not see her suffer without the desire of giving her relief It was a remainder of former sentiment it was an impuse of pure though unacknowledged friendship it was a proof of his own warm and amiable heart which she could not contemplate without emotions so compounded of pleasure and pain that she knew not which prevailed,Jane Austen
For two bits Id shove out of here If we can get jus a few dollars in the poke well shove off and go up the American River and pan gold We can make maybe a couple of dollars a day there and we might hit a pocket,John Steinbeck
"You arent tired at all just restless just afraid of taking one step on this Earth teeming with pitfalls which is why you always keep both feet in the air at once you arent tired just afraid of the terrible fatigue which will follow this terrible restlessness 
    
  ","Franz Kafka,"
On Sunday mornings as he passed the church door he glanced coldly at the worshippers who stood bareheaded four deep outside the church morally present at the mass which they could neither see nor hear Their dull piety and the sickly smell of the cheap hairoil with which they had anointed their heads repelled him from the altar they prayed at,James Joyce
Was she really beautiful Was she at least what they call attractive She was exasperation she was torture,Vladimir Nabokov
His ear heard more than was said to him and his slow speech had overtones not of thought but of understanding beyond thought,John Steinbeck
I felt very lonely when they were all there,Ernest Hemingway
A day wasted on others is not wasted on ones self,Charles Dickens
The women mostly out of curiosity to see the inside of her house which no one save an old manservant  a combined gardener and cook  had seen in at least ten years,William Faulkner
"If anything in  theology can be called Jewish it is his virtual lack of any concept of Nature There is in a sense no Nature in Genesis either since the world is created  man There may however be more modern reasons for the absence of this concept in Kafkas case His position here resembles that of  whose Existential philosophy represents an attack on Naturalism while adopting its atheistic presuppositions and therefore finds no place for nature as such but only for the world in so far as the world exists for human existence ie as material Heidegger and Kafka are radically original in that aspect of their thought which does away with the natural and the supernatural at the same time In Kafka the absence of Nature is due to the fact that for him what might be termed the institutionalization of the world is total indeed totalitarian There is no room in it for that unoccupied and unused space beyond the sphere of human needs which we are in the habit of revering or enjoying as Nature Yet there is truth in Kafkas omission of Nature from his world to the extent that the mechanized civilization of today may be described as appropriating and exploiting everything there is as raw material or fuel and destroying whatever cannot be exploitedeven human beings
    
  ","GÃ¼nther Anders,"
I tried to do as she would wish it The Lord will pardon me and excuse the conduct of them He sent me,William Faulkner
If any one faculty of our nature may be called more wonderful than the rest I do think it is memory There seems something more speakingly incomprehensible in the powers the failures the inequalities of memory than in any other of our intelligences The memory is sometimes so retentive so serviceable so obedient at others so bewildered and so weak and at others again so tyrannic so beyond control We are to be sure a miracle every way but our powers of recollecting and of forgetting do seem peculiarly past finding out,Jane Austen
Good never come of such evil a happier end was not in nature to so unhappy a beginning,Charles Dickens
In the pearl he saw Coyotito sitting at a little desk in a school just as Kino had once seen it through an open door And Coyotito was dressed in a jacket and he had on a white collar and a broad silken tie,John Steinbeck
